TransactionID,Transaction,CustomerID,Mobile_number,Customer Name,Age,Billing Without GST,Billing With GST,Date
TI0033,"['Camera', 'Focus-lens', 'SD-card']",CUST039,7023711061,Sal,56,66250,74200,1/13/2017
TI0034,"['Camera', 'Focus-lens', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST004,7023711096,Aamer,11,82200,92064,1/13/2017
TI0035,"['Camera', 'SD-card', 'Camera-holder']",CUST014,7023711086,Baltasar,25,53750,60200,1/13/2017
TI0036,"['Camera', 'SD-card', 'Camera-holder']",CUST012,7023711088,Ballinamore,24,53750,60200,1/13/2017
TI0037,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST022,7023711078,Safer,28,68750,77000,1/13/2017
TI0038,"['SD-card', 'Camera-holder']",CUST033,7023711067,Sahen,57,3750,4200,1/14/2017
TI0039,"['Focus-lens', 'Camera-holder', 'Photographic-lighting']",CUST003,7023711097,Aalam,10,21100,23632,1/15/2017
TI0040,"['Camera', 'Camera-holder']",CUST017,7023711083,Balthazzar,26,52500,58800,1/15/2017
TI0041,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST005,7023711095,Aamir,11,68750,77000,1/15/2017
TI0042,"['Camera', 'Tripod-stand', 'Camera-holder']",CUST025,7023711075,Sagar,29,54250,60760,1/15/2017
TI0043,"['Camera', 'SD-card', 'Tripod-stand', 'Camera-holder']",CUST022,7023711078,Safer,28,55500,62160,1/15/2017
TI0044,"['Camera', 'SD-card', 'Photographic-lighting', 'Auto-focus-mount-adapter']",CUST006,7023711094,Aaran,11,69550,77896,1/15/2017
TI0045,"['SD-card', 'Camera-holder']",CUST028,7023711072,Sagittarius,30,3750,4200,1/16/2017
TI0046,"['Tripod-stand', 'Focus-lens', 'Camera-holder', 'Camera']",CUST007,7023711093,Aaren,12,69250,77560,1/17/2017
TI0047,"['Camera', 'Focus-lens', 'SD-card', 'Auto-focus-mount-adapter']",CUST007,7023711093,Aaren,12,80950,90664,1/17/2017
TI0048,"['Camera', 'SD-card', 'Photographic-lighting', 'Auto-focus-mount-adapter']",CUST032,7023711068,Sahale,56,69550,77896,1/17/2017
TI0049,"['Tripod-stand', 'Focus-lens', 'SD-card']",CUST006,7023711094,Aaran,11,18000,20160,1/18/2017
TI0050,"['Camera', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter', 'Focus-lens']",CUST025,7023711075,Sagar,29,83450,93464,1/19/2017
TI0051,"['Camera', 'Camera-holder', 'Photographic-lighting']",CUST029,7023711071,Sagiv,30,56100,62832,1/19/2017
TI0052,"['Focus-lens', 'Camera-holder']",CUST005,7023711095,Aamir,11,17500,19600,1/20/2017
TI0053,"['Camera', 'SD-card']",CUST035,7023711065,Said,50,51250,57400,1/21/2017
TI0054,"['Camera', 'SD-card', 'Tripod-stand']",CUST013,7023711087,Balshazar,24,53000,59360,1/21/2017
TI0055,"['Camera', 'SD-card']",CUST024,7023711076,Saga,28,51250,57400,1/22/2017
TI0056,"['Focus-lens', 'Camera-holder', 'Photographic-lighting']",CUST016,7023711084,Balthazar,25,21100,23632,1/23/2017
TI0057,"['Camera', 'Focus-lens']",CUST040,7023711060,Salamon,58,65000,72800,1/23/2017
TI0058,"['Camera', 'Tripod-stand']",CUST036,7023711064,Saiyid,52,51750,57960,1/24/2017
TI0059,"['Camera', 'Focus-lens', 'SD-card']",CUST015,7023711085,Baltazar,25,66250,74200,1/25/2017
TI0060,"['Camera', 'Tripod-stand']",CUST013,7023711087,Balshazar,24,51750,57960,1/25/2017
TI0061,"['Focus-lens', 'SD-card']",CUST037,7023711063,Saje,53,16250,18200,1/25/2017
TI0062,"['Camera', 'Focus-lens']",CUST036,7023711064,Saiyid,52,65000,72800,1/25/2017
TI0063,"['SD-card', 'Camera-holder']",CUST033,7023711067,Sahen,57,3750,4200,1/26/2017
TI0064,"['Camera', 'Auto-focus-mount-adapter']",CUST037,7023711063,Saje,53,64700,72464,1/27/2017
TI0065,"['Focus-lens', 'SD-card']",CUST040,7023711060,Salamon,58,16250,18200,1/27/2017
TI0066,"['Camera', 'Focus-lens', 'Auto-focus-mount-adapter']",CUST010,7023711090,Ballentine,23,79700,89264,1/28/2017
TI0067,"['Tripod-stand', 'Camera']",CUST038,7023711062,Sakima,55,51750,57960,1/29/2017
TI0068,"['Camera', 'Camera-holder']",CUST023,7023711077,Safyr,28,52500,58800,1/29/2017
TI0069,"['Focus-lens', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST021,7023711079,Safak,27,32200,36064,1/29/2017
TI0070,"['SD-card', 'Auto-focus-mount-adapter']",CUST015,7023711085,Baltazar,25,15950,17864,1/30/2017
TI0071,"['Camera', 'SD-card']",CUST033,7023711067,Sahen,57,51250,57400,1/31/2017
TI0072,"['Camera', 'Camera-holder']",CUST028,7023711072,Sagittarius,30,52500,58800,1/31/2017
TI0073,['SD-card'],CUST001,7023711099,Aahron,10,1250,1400,1/31/2017
TI0074,"['Camera', 'Focus-lens']",CUST037,7023711063,Saje,53,65000,72800,1/31/2017
TI0075,"['Camera', 'Photographic-lighting', 'Auto-focus-mount-adapter']",CUST020,7023711080,Saeed,27,68300,76496,1/31/2017
TI0076,"['Camera', 'SD-card', 'Camera-holder']",CUST010,7023711090,Ballentine,23,53750,60200,1/31/2017
TI0077,"['Camera', 'Focus-lens', 'Camera-holder']",CUST025,7023711075,Sagar,29,67500,75600,2/1/2017
TI0078,"['Tripod-stand', 'Focus-lens', 'Camera-holder']",CUST018,7023711082,Baltsaros,26,19250,21560,2/2/2017
TI0079,"['Camera', 'SD-card', 'Photographic-lighting']",CUST014,7023711086,Baltasar,25,54850,61432,2/2/2017
TI0080,"['Camera', 'Camera-holder']",CUST016,7023711084,Balthazar,25,52500,58800,2/2/2017
TI0081,"['Camera', 'SD-card']",CUST039,7023711061,Sal,56,51250,57400,2/2/2017
TI0082,"['Focus-lens', 'SD-card']",CUST008,7023711092,Ballad,12,16250,18200,2/2/2017
TI0083,['Camera'],CUST021,7023711079,Safak,27,50000,56000,2/3/2017
TI0084,"['Camera', 'Camera-holder', 'Photographic-lighting']",CUST019,7023711081,Sady,27,56100,62832,2/4/2017
TI0085,"['Camera', 'Focus-lens']",CUST003,7023711097,Aalam,10,65000,72800,2/4/2017
TI0086,"['SD-card', 'Camera-holder']",CUST022,7023711078,Safer,28,3750,4200,2/4/2017
TI0087,"['Camera', 'SD-card', 'Auto-focus-mount-adapter']",CUST023,7023711077,Safyr,28,65950,73864,2/5/2017
TI0088,"['Focus-lens', 'SD-card']",CUST028,7023711072,Sagittarius,30,16250,18200,2/6/2017
TI0089,"['Camera', 'SD-card']",CUST024,7023711076,Saga,28,51250,57400,2/6/2017
TI0090,"['Camera', 'Focus-lens', 'Camera-holder']",CUST011,7023711089,Ballerd,24,67500,75600,2/6/2017
TI0091,"['Camera', 'SD-card']",CUST005,7023711095,Aamir,11,51250,57400,2/7/2017
TI0092,"['Camera', 'SD-card']",CUST032,7023711068,Sahale,56,51250,57400,2/8/2017
TI0093,['Camera'],CUST035,7023711065,Said,50,50000,56000,2/8/2017
TI0094,['Camera-holder'],CUST012,7023711088,Ballinamore,24,2500,2800,2/9/2017
TI0095,"['SD-card', 'Camera-holder']",CUST016,7023711084,Balthazar,25,3750,4200,2/10/2017
TI0096,"['Focus-lens', 'SD-card', 'Camera-holder']",CUST032,7023711068,Sahale,56,18750,21000,2/10/2017
TI0097,"['SD-card', 'Camera-holder']",CUST020,7023711080,Saeed,27,3750,4200,2/10/2017
TI0098,"['Camera', 'SD-card']",CUST031,7023711069,Sahadev,54,51250,57400,2/10/2017
TI0099,"['Focus-lens', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST037,7023711063,Saje,53,32200,36064,2/10/2017
TI0100,"['Camera', 'Focus-lens', 'Camera-holder']",CUST018,7023711082,Baltsaros,26,67500,75600,2/10/2017
TI0101,"['Camera', 'Camera-holder']",CUST039,7023711061,Sal,56,52500,58800,2/11/2017
TI0102,"['Camera', 'SD-card']",CUST011,7023711089,Ballerd,24,51250,57400,2/12/2017
TI0103,"['SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST007,7023711093,Aaren,12,18450,20664,2/12/2017
TI0104,"['Focus-lens', 'Camera-holder']",CUST010,7023711090,Ballentine,23,17500,19600,2/12/2017
TI0105,"['Camera', 'Focus-lens', 'SD-card']",CUST005,7023711095,Aamir,11,66250,74200,2/13/2017
TI0106,"['Camera', 'SD-card']",CUST024,7023711076,Saga,28,51250,57400,2/14/2017
TI0107,"['SD-card', 'Camera-holder']",CUST032,7023711068,Sahale,56,3750,4200,2/14/2017
TI0108,"['Tripod-stand', 'SD-card', 'Camera']",CUST040,7023711060,Salamon,58,53000,59360,2/15/2017
TI0109,"['Camera', 'SD-card', 'Tripod-stand']",CUST018,7023711082,Baltsaros,26,53000,59360,2/16/2017
TI0110,"['Camera', 'SD-card', 'Camera-holder']",CUST033,7023711067,Sahen,57,53750,60200,2/16/2017
TI0111,"['Focus-lens', 'SD-card', 'Photographic-lighting']",CUST028,7023711072,Sagittarius,30,19850,22232,2/16/2017
TI0112,"['Tripod-stand', 'Camera-holder']",CUST018,7023711082,Baltsaros,26,4250,4760,2/17/2017
TI0113,"['Camera', 'Camera-holder', 'Photographic-lighting']",CUST013,7023711087,Balshazar,24,56100,62832,2/18/2017
TI0114,"['Tripod-stand', 'SD-card', 'Camera-holder']",CUST017,7023711083,Balthazzar,26,5500,6160,2/18/2017
TI0115,"['Tripod-stand', 'Camera-holder']",CUST033,7023711067,Sahen,57,4250,4760,2/18/2017
TI0116,"['Camera', 'Focus-lens']",CUST012,7023711088,Ballinamore,24,65000,72800,2/18/2017
TI0117,"['Camera', 'SD-card', 'Camera-holder']",CUST010,7023711090,Ballentine,23,53750,60200,2/18/2017
TI0118,"['Focus-lens', 'Camera-holder']",CUST009,7023711091,Ballard,12,17500,19600,2/19/2017
TI0119,"['Camera', 'Tripod-stand']",CUST015,7023711085,Baltazar,25,51750,57960,2/20/2017
TI0120,"['Camera', 'Focus-lens', 'Auto-focus-mount-adapter']",CUST007,7023711093,Aaren,12,79700,89264,2/20/2017
TI0121,"['SD-card', 'Camera-holder']",CUST011,7023711089,Ballerd,24,3750,4200,2/20/2017
TI0122,"['Tripod-stand', 'Focus-lens', 'Photographic-lighting']",CUST001,7023711099,Aahron,10,20350,22792,2/20/2017
TI0123,"['SD-card', 'Camera-holder']",CUST032,7023711068,Sahale,56,3750,4200,2/20/2017
TI0124,"['Camera', 'SD-card', 'Camera-holder']",CUST013,7023711087,Balshazar,24,53750,60200,2/21/2017
TI0125,"['Camera', 'SD-card', 'Camera-holder']",CUST014,7023711086,Baltasar,25,53750,60200,2/22/2017
TI0126,['Camera'],CUST012,7023711088,Ballinamore,24,50000,56000,2/22/2017
TI0127,"['Camera', 'Focus-lens']",CUST005,7023711095,Aamir,11,65000,72800,2/22/2017
TI0128,"['Camera', 'SD-card']",CUST013,7023711087,Balshazar,24,51250,57400,2/22/2017
TI0129,"['Camera', 'Focus-lens', 'Camera-holder']",CUST019,7023711081,Sady,27,67500,75600,2/22/2017
TI0130,"['SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST039,7023711061,Sal,56,18450,20664,2/22/2017
TI0131,"['Camera', 'SD-card', 'Camera-holder']",CUST013,7023711087,Balshazar,24,53750,60200,2/23/2017
TI0132,"['Camera', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST017,7023711083,Balthazzar,26,67200,75264,2/24/2017
TI0133,"['Camera', 'SD-card']",CUST016,7023711084,Balthazar,25,51250,57400,2/24/2017
TI0134,"['Camera', 'Focus-lens', 'Auto-focus-mount-adapter']",CUST019,7023711081,Sady,27,79700,89264,2/25/2017
TI0135,"['Camera', 'Camera-holder']",CUST025,7023711075,Sagar,29,52500,58800,2/26/2017
TI0136,"['SD-card', 'Auto-focus-mount-adapter']",CUST027,7023711073,Sage,29,15950,17864,2/26/2017
TI0137,"['Camera', 'Camera-holder', 'Tripod-stand']",CUST013,7023711087,Balshazar,24,54250,60760,2/26/2017
TI0138,"['Focus-lens', 'Camera-holder']",CUST016,7023711084,Balthazar,25,17500,19600,2/26/2017
TI0139,"['Camera', 'SD-card', 'Photographic-lighting']",CUST027,7023711073,Sage,29,54850,61432,2/27/2017
TI0140,"['Camera', 'Camera-holder']",CUST031,7023711069,Sahadev,54,52500,58800,2/28/2017
TI0141,"['Camera', 'SD-card', 'Camera-holder']",CUST012,7023711088,Ballinamore,24,53750,60200,2/28/2017
TI0142,"['Camera', 'SD-card']",CUST002,7023711098,Aakash,10,51250,57400,2/28/2017
TI0143,"['SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST040,7023711060,Salamon,58,18450,20664,3/1/2017
TI0144,"['Camera', 'SD-card']",CUST024,7023711076,Saga,28,51250,57400,3/2/2017
TI0145,"['Camera', 'Camera-holder']",CUST021,7023711079,Safak,27,52500,58800,3/2/2017
TI0146,"['Camera', 'Focus-lens', 'Camera-holder']",CUST016,7023711084,Balthazar,25,67500,75600,3/2/2017
TI0147,"['Camera', 'SD-card', 'Camera-holder']",CUST031,7023711069,Sahadev,54,53750,60200,3/3/2017
TI0148,"['Camera', 'Photographic-lighting']",CUST016,7023711084,Balthazar,25,53600,60032,3/4/2017
TI0149,"['Camera', 'Camera-holder']",CUST040,7023711060,Salamon,58,52500,58800,3/4/2017
TI0150,"['Camera', 'SD-card']",CUST015,7023711085,Baltazar,25,51250,57400,3/5/2017
TI0151,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST038,7023711062,Sakima,55,68750,77000,3/6/2017
TI0152,"['Camera', 'Focus-lens', 'Camera-holder']",CUST002,7023711098,Aakash,10,67500,75600,3/6/2017
TI0153,"['Camera', 'Camera-holder']",CUST016,7023711084,Balthazar,25,52500,58800,3/6/2017
TI0154,"['SD-card', 'Camera-holder', 'Photographic-lighting']",CUST019,7023711081,Sady,27,7350,8232,3/6/2017
TI0155,"['Focus-lens', 'SD-card', 'Camera-holder']",CUST020,7023711080,Saeed,27,18750,21000,3/7/2017
TI0156,"['Camera', 'SD-card']",CUST007,7023711093,Aaren,12,51250,57400,3/8/2017
TI0157,"['Focus-lens', 'SD-card', 'Camera-holder']",CUST029,7023711071,Sagiv,30,18750,21000,3/8/2017
TI0158,"['Camera', 'Focus-lens', 'SD-card']",CUST007,7023711093,Aaren,12,66250,74200,3/8/2017
TI0159,"['Camera', 'SD-card', 'Camera-holder', 'Photographic-lighting']",CUST006,7023711094,Aaran,11,57350,64232,3/8/2017
TI0160,"['Camera', 'SD-card', 'Camera-holder']",CUST037,7023711063,Saje,53,53750,60200,3/9/2017
TI0161,"['Camera', 'Focus-lens', 'Camera-holder']",CUST018,7023711082,Baltsaros,26,67500,75600,3/10/2017
TI0162,"['Tripod-stand', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST036,7023711064,Saiyid,52,20200,22624,3/10/2017
TI0163,"['Tripod-stand', 'SD-card', 'Photographic-lighting']",CUST015,7023711085,Baltazar,25,6600,7392,3/10/2017
TI0164,"['Camera-holder', 'Photographic-lighting']",CUST036,7023711064,Saiyid,52,6100,6832,3/10/2017
TI0165,"['Camera', 'Focus-lens', 'Camera-holder']",CUST004,7023711096,Aamer,11,67500,75600,3/10/2017
TI0166,"['Camera', 'Focus-lens', 'Camera-holder']",CUST037,7023711063,Saje,53,67500,75600,3/11/2017
TI0167,"['Camera', 'Focus-lens', 'Camera-holder']",CUST039,7023711061,Sal,56,67500,75600,3/12/2017
TI0168,"['SD-card', 'Camera-holder']",CUST027,7023711073,Sage,29,3750,4200,3/12/2017
TI0169,['Camera-holder'],CUST008,7023711092,Ballad,12,2500,2800,3/12/2017
TI0170,"['Camera', 'SD-card', 'Camera-holder']",CUST039,7023711061,Sal,56,53750,60200,3/12/2017
TI0171,"['Tripod-stand', 'SD-card']",CUST011,7023711089,Ballerd,24,3000,3360,3/12/2017
TI0172,"['Camera-holder', 'Auto-focus-mount-adapter']",CUST023,7023711077,Safyr,28,17200,19264,3/12/2017
TI0173,"['Focus-lens', 'SD-card', 'Auto-focus-mount-adapter']",CUST019,7023711081,Sady,27,30950,34664,3/13/2017
TI0174,"['Tripod-stand', 'Camera-holder', 'Camera']",CUST039,7023711061,Sal,56,54250,60760,3/14/2017
TI0175,"['Focus-lens', 'SD-card']",CUST026,7023711074,Sagaz,29,16250,18200,3/14/2017
TI0176,"['Camera', 'Camera-holder']",CUST033,7023711067,Sahen,57,52500,58800,3/14/2017
TI0177,"['Camera', 'SD-card', 'Camera-holder']",CUST017,7023711083,Balthazzar,26,53750,60200,3/15/2017
TI0178,"['Focus-lens', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST011,7023711089,Ballerd,24,33450,37464,3/16/2017
TI0179,"['Tripod-stand', 'Camera-holder']",CUST014,7023711086,Baltasar,25,4250,4760,3/16/2017
TI0180,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST024,7023711076,Saga,28,68750,77000,3/16/2017
TI0181,"['Camera', 'Focus-lens', 'SD-card']",CUST031,7023711069,Sahadev,54,66250,74200,3/16/2017
TI0182,"['Camera', 'SD-card', 'Camera-holder']",CUST031,7023711069,Sahadev,54,53750,60200,3/16/2017
TI0183,"['Camera', 'Auto-focus-mount-adapter']",CUST035,7023711065,Said,50,64700,72464,3/16/2017
TI0184,"['Camera-holder', 'Auto-focus-mount-adapter']",CUST024,7023711076,Saga,28,17200,19264,3/17/2017
TI0185,"['Camera', 'Focus-lens', 'SD-card', 'Auto-focus-mount-adapter']",CUST023,7023711077,Safyr,28,80950,90664,3/18/2017
TI0186,"['Focus-lens', 'SD-card', 'Camera-holder']",CUST018,7023711082,Baltsaros,26,18750,21000,3/18/2017
TI0187,"['Camera', 'Focus-lens', 'SD-card']",CUST012,7023711088,Ballinamore,24,66250,74200,3/19/2017
TI0188,"['Camera', 'Focus-lens', 'Photographic-lighting']",CUST030,7023711070,Sago,31,68600,76832,3/20/2017
TI0189,"['Camera', 'Focus-lens', 'Photographic-lighting']",CUST004,7023711096,Aamer,11,68600,76832,3/20/2017
TI0190,"['Camera', 'Focus-lens', 'SD-card']",CUST026,7023711074,Sagaz,29,66250,74200,3/20/2017
TI0191,"['Camera', 'SD-card', 'Camera-holder']",CUST007,7023711093,Aaren,12,53750,60200,3/20/2017
TI0192,"['Camera', 'Focus-lens', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST002,7023711098,Aakash,10,82200,92064,3/20/2017
TI0193,"['Camera', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST021,7023711079,Safak,27,67200,75264,3/20/2017
TI0194,"['Camera', 'SD-card', 'Camera-holder']",CUST030,7023711070,Sago,31,53750,60200,3/21/2017
TI0195,"['Camera', 'Camera-holder', 'Tripod-stand']",CUST021,7023711079,Safak,27,54250,60760,3/22/2017
TI0196,"['Camera', 'Camera-holder', 'Photographic-lighting']",CUST037,7023711063,Saje,53,56100,62832,3/22/2017
TI0197,['Camera-holder'],CUST034,7023711066,Sahib,59,2500,2800,3/22/2017
TI0198,"['Camera', 'SD-card', 'Camera-holder']",CUST029,7023711071,Sagiv,30,53750,60200,3/22/2017
TI0199,"['Camera', 'SD-card', 'Camera-holder']",CUST029,7023711071,Sagiv,30,53750,60200,3/22/2017
TI0200,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST034,7023711066,Sahib,59,68750,77000,3/23/2017
TI0201,"['Focus-lens', 'SD-card', 'Camera-holder']",CUST015,7023711085,Baltazar,25,18750,21000,3/24/2017
TI0202,"['Tripod-stand', 'Focus-lens', 'SD-card', 'Auto-focus-mount-adapter']",CUST032,7023711068,Sahale,56,32700,36624,3/24/2017
TI0203,"['Camera', 'SD-card', 'Camera-holder']",CUST002,7023711098,Aakash,10,53750,60200,3/24/2017
TI0204,"['Camera', 'Focus-lens']",CUST040,7023711060,Salamon,58,65000,72800,3/25/2017
TI0205,"['Camera', 'SD-card', 'Camera-holder']",CUST007,7023711093,Aaren,12,53750,60200,3/26/2017
TI0206,"['Camera', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST017,7023711083,Balthazzar,26,67200,75264,3/26/2017
TI0207,"['Camera', 'Focus-lens', 'SD-card']",CUST015,7023711085,Baltazar,25,66250,74200,3/26/2017
TI0208,"['Camera', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST012,7023711088,Ballinamore,24,68450,76664,3/26/2017
TI0209,"['Camera', 'Auto-focus-mount-adapter']",CUST004,7023711096,Aamer,11,64700,72464,3/26/2017
TI0210,"['Camera', 'SD-card', 'Camera-holder']",CUST038,7023711062,Sakima,55,53750,60200,3/26/2017
TI0211,"['Tripod-stand', 'SD-card', 'Camera']",CUST038,7023711062,Sakima,55,53000,59360,3/27/2017
TI0212,"['Camera', 'SD-card', 'Camera-holder', 'Photographic-lighting']",CUST038,7023711062,Sakima,55,57350,64232,3/28/2017
TI0213,"['Camera', 'SD-card', 'Tripod-stand']",CUST025,7023711075,Sagar,29,53000,59360,3/28/2017
TI0214,"['SD-card', 'Camera-holder', 'Photographic-lighting', 'Auto-focus-mount-adapter']",CUST007,7023711093,Aaren,12,22050,24696,3/28/2017
TI0215,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST026,7023711074,Sagaz,29,68750,77000,3/28/2017
TI0216,"['Camera', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST037,7023711063,Saje,53,67200,75264,3/29/2017
TI0217,"['Camera', 'SD-card', 'Camera-holder']",CUST014,7023711086,Baltasar,25,53750,60200,3/30/2017
TI0218,"['Camera', 'Focus-lens', 'SD-card']",CUST004,7023711096,Aamer,11,66250,74200,3/30/2017
TI0219,"['Camera', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST028,7023711072,Sagittarius,30,68450,76664,3/30/2017
TI0220,"['Camera', 'Camera-holder']",CUST032,7023711068,Sahale,56,52500,58800,3/30/2017
TI0221,"['SD-card', 'Cover-Case', 'Screen-Protector', 'Sim']",CUST017,7023711083,Balthazzar,26,2800,3136,3/31/2017
TI0222,"['Sim', 'Mobile-phone']",CUST023,7023711077,Safyr,28,45150,50568,4/1/2017
TI0223,"['SD-card', 'Mobile-phone']",CUST028,7023711072,Sagittarius,30,46250,51800,4/1/2017
TI0224,"['Earphones', 'Screen-Protector', 'Sim']",CUST021,7023711079,Safak,27,2950,3304,4/1/2017
TI0225,"['Earphones', 'Cover-Case', 'Screen-Protector', 'Sim']",CUST036,7023711064,Saiyid,52,4050,4536,4/1/2017
TI0226,"['Earphones', 'SD-card', 'Screen-Protector', 'Sim']",CUST011,7023711089,Ballerd,24,4200,4704,4/2/2017
TI0227,"['Mobile-phone', 'Screen-Protector', 'Sim']",CUST008,7023711092,Ballad,12,45450,50904,4/3/2017
TI0228,"['Sim', 'Cover-Case', 'Screen-Protector', 'Mobile-phone']",CUST030,7023711070,Sago,31,46550,52136,4/3/2017
TI0229,"['Earphones', 'SD-card', 'Cover-Case', 'Mobile-phone']",CUST036,7023711064,Saiyid,52,49850,55832,4/4/2017
TI0230,"['Screen-Protector', 'Mobile-phone']",CUST039,7023711061,Sal,56,45300,50736,4/5/2017
TI0231,"['Earphones', 'Cover-Case', 'Screen-Protector', 'Mobile-phone']",CUST006,7023711094,Aaran,11,48900,54768,4/5/2017
TI0232,"['Cover-Case', 'Screen-Protector', 'Sim']",CUST015,7023711085,Baltazar,25,1550,1736,4/6/2017
